#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1.,Marcquise Reed,TRA,30,31.1,23.4,8.1,15.0,537,1.3,3.8,345,6.0,6.9,874,0.7,2.9,3.6,5.2,2.0,0.1,2.6,2.5
2.,Cameron Young,PIN,28,25.2,17.0,5.1,11.0,463,2.1,5.1,413,4.7,5.7,824,0.6,2.5,3.1,1.4,0.6,0.1,1.3,2.2
3.,"James Palmer, Jr.",GAL,29,30.1,16.7,6.8,13.5,504,2.0,5.6,350,1.2,2.8,425,0.7,3.5,4.2,4.7,1.3,0.1,1.9,1.9
4.,Jalen Lecque,DEM,24,27.2,15.7,5.3,11.8,450,1.9,4.9,381,3.3,4.5,716,1.0,2.4,3.4,2.0,0.8,0.3,1.9,3.0
5.,Jordon Crawford,ENEN,29,26.0,15.2,5.1,12.6,407,1.7,5.7,299,3.2,3.6,886,0.4,1.6,1.9,5.9,0.9,0.0,2.1,1.7
6.,Judah Mintz,MANI,24,25.7,15.1,5.0,10.3,486,0.3,1.5,200,4.8,6.3,763,0.4,1.9,2.3,2.1,1.3,0.0,1.7,2.4
7.,Mike Smith,BURS,10,30.6,15.0,4.9,10.8,454,1.7,3.5,486,3.5,4.1,854,0.4,1.6,2.0,6.6,0.9,0.0,2.0,2.5
8.,Marek Blazevic,TOF,28,26.1,15.0,6.1,9.0,681,0.1,0.3,222,2.7,3.9,682,2.5,4.4,6.9,1.8,0.9,0.2,1.9,3.1
9.,Brandon Childress,BURS,30,29.9,14.9,4.3,10.7,406,1.7,5.7,302,4.5,5.0,907,0.2,2.4,2.6,6.8,1.8,0.0,3.3,2.7
10.,Anthony Cowan,MER,29,26.7,14.9,3.7,9.2,396,2.3,6.1,373,5.3,6.8,783,0.2,1.4,1.6,6.8,0.8,0.1,2.8,2.7
11.,Malachi Flynn,BAHC,26,28.8,14.8,4.9,11.7,416,2.3,6.3,370,2.7,3.5,789,0.6,2.3,2.9,4.8,1.6,0.1,2.0,2.1
12.,Errick McCollum,GAL,25,22.1,14.7,4.8,11.1,435,1.6,4.8,345,3.4,4.1,825,0.9,2.2,3.1,2.1,0.8,0.3,1.4,1.8
13.,Yannick Franke,SOC,29,26.3,14.7,4.2,10.5,398,2.4,6.3,379,4.0,4.3,913,0.6,3.0,3.6,1.6,0.7,0.0,1.8,2.0
14.,David Efianayi,SOC,29,30.8,14.6,4.7,10.7,441,1.8,4.9,357,3.3,3.9,851,0.6,1.8,2.4,5.1,0.6,0.2,3.2,1.9
15.,Jonah Mathews,BES,25,24.9,14.4,4.9,11.0,442,2.1,5.3,398,2.5,3.1,795,0.3,1.9,2.2,2.9,1.2,0.1,2.2,2.8
16.,Vrenz Bleijenbergh,MERK,19,34.5,14.3,4.0,10.0,400,2.3,5.9,381,4.1,4.7,856,0.8,5.1,5.8,4.3,1.7,0.7,2.7,2.5
17.,P.J. Pipes,DEM,28,24.5,13.6,4.9,10.7,460,2.1,5.2,397,1.7,2.0,839,0.3,1.4,1.7,2.1,0.4,0.0,2.2,1.6
18.,"Charles Manning, Jr.",PIN,30,28.4,13.6,5.2,11.0,473,0.8,2.6,316,2.4,2.8,835,0.5,2.6,3.1,2.9,0.7,0.5,1.7,2.6
19.,Pako Cruz,MER,29,26.0,13.3,4.9,10.7,455,2.8,7.0,399,0.8,1.1,719,0.7,1.7,2.4,4.0,1.0,0.0,2.8,2.3
20.,Mike Moore,PIN,7,29.0,13.1,4.9,9.4,515,1.9,4.4,419,1.6,1.9,846,0.6,2.3,2.9,1.1,0.4,0.1,0.9,2.9
21.,Stanley Whittaker,SOC,23,27.0,13.1,5.1,10.9,468,1.6,3.7,430,1.3,1.7,816,0.5,1.8,2.3,3.5,0.7,0.1,1.8,2.8
22.,Marcus Georges-Hunt,BURS,10,25.1,13.1,4.5,8.3,542,1.8,3.7,486,2.3,2.9,793,0.5,2.2,2.7,1.9,0.9,0.2,1.1,1.9
23.,Jordan Loyd,EFE,25,24.5,12.9,3.9,8.8,445,2.3,5.4,426,2.8,3.2,873,0.3,2.2,2.5,1.9,1.0,0.0,1.1,2.3
24.,Talen Horton-Tucker,FEN,20,20.1,12.8,4.5,9.2,484,1.0,3.0,333,2.9,4.0,725,0.9,2.4,3.2,3.3,1.3,0.5,1.9,1.8
25.,Tyler Cavanaugh,BAHC,24,26.5,12.7,4.3,8.4,505,1.3,3.4,366,3.0,3.1,959,2.0,3.5,5.5,1.6,0.8,0.2,0.9,2.2
26.,Alexander Perez Kaufmann,TOF,30,29.0,12.6,4.3,8.9,479,1.8,4.2,432,2.3,2.9,802,0.5,2.1,2.6,6.4,1.2,0.2,1.9,2.2
27.,Ante Zizic,BES,24,22.7,12.4,4.4,6.6,671,0.0,0.0,0,3.6,4.6,782,2.3,4.0,6.3,0.9,0.4,0.7,1.5,2.1
28.,Keye Van Der Vuurst De Vries,DEM,29,31.9,12.4,3.5,9.4,370,1.7,5.7,295,3.7,4.1,908,0.4,2.9,3.3,8.7,1.0,0.0,3.6,3.1
29.,Will Cummings,GAL,12,27.5,12.3,4.3,9.7,440,1.0,3.1,324,2.8,3.4,829,0.8,2.5,3.3,4.4,1.3,0.1,2.6,2.3
30.,"Kyle Allman, Jr.",TUR,21,22.1,12.3,3.5,9.0,386,1.0,3.0,323,4.4,6.5,676,0.1,2.3,2.4,3.5,0.8,0.3,2.3,1.8
31.,Tarik Biberovic,FEN,24,22.9,12.2,4.4,8.8,500,2.5,5.2,488,0.8,1.0,833,0.9,2.7,3.6,2.4,0.4,0.0,1.6,2.0
32.,Jaleen Smith,TUR,28,26.5,12.2,3.6,9.9,366,2.2,6.0,367,2.8,3.0,917,0.5,2.1,2.6,3.6,1.0,0.0,1.6,2.1
33.,Sam Griffin,MERK,29,19.9,12.0,4.4,9.5,464,1.4,3.3,442,1.8,1.9,927,0.2,1.3,1.5,1.3,0.5,0.0,1.4,1.3
34.,Hugo Besson,TOF,30,23.7,12.0,3.7,8.4,444,1.6,4.4,353,2.9,3.5,838,0.4,2.9,3.4,1.8,0.8,0.1,1.4,1.9
35.,Maozinha Pereira,MANI,26,24.4,11.7,5.0,9.0,558,0.6,2.3,262,1.1,1.8,596,2.2,3.8,6.0,1.2,1.4,1.6,0.9,2.6
36.,Erik Stevenson,MANI,18,24.8,11.7,4.2,12.2,347,2.3,7.5,304,0.9,1.1,850,0.8,2.8,3.6,2.4,0.7,0.4,2.1,3.1
37.,Dogus Ozdemiroglu,TUR,30,25.8,11.6,3.5,9.1,390,1.5,4.4,344,3.0,4.6,664,0.9,2.9,3.8,5.3,2.2,0.2,2.7,2.7
38.,Scoochie Smith,MANI,30,31.1,11.6,3.4,10.2,333,1.8,5.4,340,3.0,3.6,817,0.4,2.4,2.8,6.1,1.3,0.1,2.5,2.0
39.,Saben Lee,EFE,10,22.9,11.6,3.4,7.1,479,0.7,2.6,269,4.1,5.3,774,0.7,1.7,2.4,4.4,0.7,0.1,1.8,1.7
40.,Malik Parsons,BURS,18,25.3,11.6,4.0,8.4,477,0.7,2.3,310,2.8,3.3,850,0.4,1.3,1.8,2.3,1.3,0.1,2.3,2.3
41.,Roko Badzim,MERK,30,25.7,11.5,3.9,8.4,458,2.1,5.2,401,1.7,2.1,810,0.6,1.8,2.4,3.1,0.7,0.1,1.5,2.4
42.,Sehmus Hazer,EFE,30,20.0,11.4,3.7,7.5,491,1.3,3.0,427,2.8,3.9,703,0.4,1.7,2.1,2.4,0.9,0.2,1.1,1.5
43.,Caleb Homesley,BAHC,27,23.2,11.3,3.6,9.2,390,1.4,4.7,291,2.7,3.6,771,0.5,2.7,3.2,2.6,1.0,0.3,1.9,2.3
44.,Isaiah Miles,MERK,20,26.5,11.3,3.9,7.1,546,1.8,3.9,455,1.8,2.1,878,0.9,3.2,4.1,1.1,0.9,0.3,0.9,2.6
45.,Stefan Moody,PIN,21,29.9,11.2,3.6,9.1,398,1.6,5.7,283,2.4,2.8,862,0.4,2.8,3.2,4.5,0.8,0.2,3.0,2.1
46.,Tony Taylor,TRA,26,24.9,11.2,4.0,8.2,493,1.3,3.7,368,1.8,2.1,855,0.3,1.4,1.7,4.6,0.6,0.1,1.0,2.8
47.,Gabriel Olaseni,MER,30,25.9,11.1,4.0,7.0,579,0.0,0.0,0,3.0,3.9,771,2.7,5.1,7.8,1.7,0.7,0.4,2.0,2.7
48.,Hunter Hale,BAHC,25,19.0,11.1,3.5,8.0,440,1.9,4.9,385,2.2,2.5,871,0.4,2.0,2.4,2.2,0.9,0.2,1.5,2.0
49.,Yigitcan Saybir,TOF,27,28.1,11.0,4.1,7.7,541,0.9,2.4,359,1.9,3.0,638,1.8,3.0,4.8,1.9,1.1,0.2,1.5,1.8
50.,Yigit Onan,MANI,30,28.0,11.0,3.8,8.3,460,0.6,2.3,250,2.7,3.8,713,1.6,3.3,4.9,2.0,0.9,0.2,1.6,2.4
51.,Bryant Crawford,BURS,21,20.2,10.9,3.3,8.3,402,1.7,4.5,379,2.5,3.1,788,0.2,1.3,1.6,3.3,0.9,0.2,1.5,2.0
52.,Egehan Arna,ENEN,30,29.5,10.8,3.8,8.2,466,1.8,4.7,383,1.4,2.0,695,0.8,4.3,5.1,2.1,1.3,0.2,1.0,2.5
53.,Isaia Cordinier,EFE,13,22.8,10.8,3.7,8.0,462,0.9,3.6,255,2.5,3.0,821,0.8,2.7,3.5,3.2,0.5,0.1,1.9,2.8
54.,Devon Dotson,BES,27,19.8,10.7,3.6,7.5,473,1.2,3.1,386,2.4,3.0,805,0.8,2.1,2.9,4.6,0.9,0.0,1.5,2.5
55.,Wade Baldwin IV,FEN,20,20.4,10.7,3.6,8.0,447,0.9,2.9,293,2.8,3.6,775,0.3,2.0,2.3,4.8,0.5,0.2,2.6,1.7
56.,Michal Sokolowski,PIN,23,26.6,10.7,3.3,6.5,500,1.6,3.5,444,2.6,2.8,923,1.2,3.4,4.6,1.4,1.2,0.1,1.2,2.8
57.,Christian Bishop,PIN,17,19.3,10.6,3.8,6.1,621,0.1,0.1,500,3.1,4.5,684,1.4,3.3,4.7,0.9,1.2,0.1,1.2,2.5
58.,Evan Bruinsma,DEM,22,24.9,10.6,4.0,8.5,468,1.0,3.0,328,1.7,2.5,661,1.6,3.7,5.3,1.5,0.7,0.2,1.0,2.2
59.,Trevion Williams,BAHC,26,22.9,10.6,4.7,8.6,552,0.0,0.3,125,1.1,1.8,609,3.4,5.8,9.2,2.3,0.5,0.2,1.7,2.5
60.,Justin Cobbs,MER,16,23.1,10.6,3.3,8.1,403,1.1,3.0,375,3.2,3.7,864,0.3,1.2,1.5,3.6,0.4,0.0,1.6,1.5
61.,Petr Cornelie,ENEN,30,23.8,10.4,3.9,8.1,479,1.0,3.5,283,1.7,2.9,581,2.0,4.3,6.2,1.5,0.8,0.5,1.0,2.8
62.,Ben Bentil,MER,9,18.6,10.2,3.6,8.0,444,1.1,3.1,357,2.0,2.8,720,1.0,2.3,3.3,1.2,0.4,0.2,1.3,2.1
63.,Erxhan Osmani,EFE,28,21.0,10.2,3.6,7.5,481,0.8,2.6,301,2.2,2.5,886,1.2,3.6,4.8,1.9,0.8,0.3,1.8,1.8
64.,Yavuz Gultekin,BURS,16,25.8,10.2,3.9,8.8,440,0.9,3.0,292,1.6,2.3,676,1.9,3.5,5.4,1.0,0.5,0.1,0.9,1.5
65.,Fabian White,GAL,29,26.1,10.1,4.0,8.6,464,1.0,3.0,341,1.1,1.7,640,2.2,3.3,5.5,1.4,0.8,0.7,1.1,2.2
66.,Kyle Alexander,TUR,24,24.1,10.0,3.9,6.1,639,0.3,0.8,333,2.0,2.4,810,2.5,3.5,6.0,1.1,0.7,1.2,1.0,2.0
67.,Akwasi Abeyie Yeboah,TRA,30,24.5,10.0,3.3,6.9,471,1.8,4.4,409,1.7,2.1,823,1.0,3.2,4.2,1.4,1.0,0.1,1.3,2.9
68.,Jermaine Love-Roberts,ENEN,30,23.0,10.0,3.3,7.0,469,1.0,2.5,400,2.4,2.6,911,0.5,1.6,2.1,1.9,0.9,0.1,1.5,2.8
69.,Jack White,MER,30,27.7,10.0,3.8,7.0,548,1.4,3.2,438,0.9,1.7,519,1.5,3.7,5.1,1.3,0.8,0.6,1.0,2.0
70.,Uros Trifunovic,TUR,20,21.5,9.9,3.4,7.3,459,1.9,4.8,400,1.3,1.6,806,0.7,1.9,2.6,1.0,0.7,0.1,0.7,1.5
71.,Jordan Usher,TUR,28,22.8,9.8,3.6,7.1,515,1.1,2.9,390,1.4,2.0,679,0.6,2.5,3.1,1.4,1.1,0.1,1.2,1.8
72.,Anthony Brown,BES,27,23.2,9.8,3.2,7.7,416,1.8,4.3,422,1.5,1.7,891,0.6,3.7,4.4,2.6,0.6,0.2,1.1,2.1
73.,Angel Delgado,TRA,25,21.3,9.7,4.2,7.2,583,0.0,0.0,0,1.3,2.2,600,2.1,3.5,5.6,1.0,0.8,0.4,1.2,2.1
74.,Michael Devoe,TUR,25,20.4,9.6,3.4,7.0,486,1.0,2.3,414,1.8,2.5,730,0.5,1.9,2.4,3.2,1.1,0.2,1.6,2.0
75.,Devon Hall,FEN,19,21.3,9.5,3.0,6.7,445,1.1,3.1,356,2.4,2.7,885,0.7,2.1,2.8,3.1,0.5,0.1,1.5,1.4
76.,Martynas Sajus,SOC,30,20.2,9.5,3.6,5.3,679,0.0,0.0,0,2.3,3.2,719,2.4,2.4,4.7,1.4,0.9,0.9,1.9,2.2
77.,Conor Morgan,BES,23,22.0,9.5,3.4,6.8,500,1.4,3.6,402,1.3,1.6,806,1.1,3.3,4.5,1.7,0.4,0.5,1.0,3.0
78.,"Ronald March, Jr.",MER,30,18.2,9.5,3.6,7.6,474,1.4,4.3,331,0.8,1.2,676,0.7,2.5,3.1,1.3,1.5,0.4,1.2,1.6
79.,Mahir Agva,MERK,30,24.5,9.4,3.6,7.2,498,0.1,0.6,235,2.1,2.9,736,2.1,4.8,6.9,2.1,0.5,0.2,1.6,2.6
80.,Langston Galloway,ENEN,30,19.8,9.4,2.8,7.3,390,1.7,4.4,386,2.0,2.3,857,0.4,2.1,2.5,1.2,0.9,0.1,0.5,2.2
81.,Markel Starks,MANI,14,24.9,9.3,3.4,7.4,456,1.9,4.5,413,0.7,1.0,714,0.1,1.8,1.9,4.8,1.0,0.1,1.6,1.6
82.,"Royce Hamm, Jr.",TRA,25,24.1,9.2,3.6,7.2,500,0.3,1.5,211,1.7,2.4,700,1.7,4.2,5.9,0.9,0.5,0.7,1.9,1.7
83.,Jayce Johnson,MANI,30,21.6,9.1,3.3,6.1,538,0.0,0.0,0,2.6,4.3,600,3.8,3.7,7.5,0.8,0.4,0.6,1.2,2.3
84.,Furkan Korkmaz,TOF,23,19.6,9.0,3.0,7.2,412,1.2,4.0,308,1.9,2.8,672,0.3,1.9,2.2,1.4,0.6,0.0,1.0,1.3
85.,Jordan Floyd,TOF,12,18.5,9.0,3.2,7.7,413,0.7,2.6,258,2.0,2.4,828,0.2,0.9,1.1,2.3,0.8,0.0,1.8,1.7
86.,Arturs Zagars,FEN,12,16.7,8.9,2.5,5.5,455,1.6,3.7,432,2.3,3.0,778,0.4,0.5,0.9,3.4,0.7,0.0,1.6,1.6
87.,P.J. Dozier,EFE,20,19.2,8.9,3.3,7.7,431,1.0,3.1,306,1.4,1.7,794,0.6,2.4,2.9,3.0,1.0,0.1,1.2,2.1
88.,"B.J. Boston, Jr.",FEN,18,17.5,8.7,3.0,6.9,432,0.9,2.8,340,1.8,2.2,800,1.1,1.7,2.8,0.8,0.4,0.1,0.7,1.3
89.,Brynton Lemar,BES,24,19.8,8.7,2.8,6.4,431,1.5,3.8,380,1.8,2.3,778,0.6,0.8,1.3,2.5,0.7,0.0,0.8,2.4
90.,Jerome Robinson,GAL,21,19.5,8.7,2.8,5.7,496,1.3,3.0,435,1.8,2.1,841,0.6,1.6,2.2,1.7,0.9,0.1,0.8,2.4
91.,Brice Dessert,EFE,23,18.8,8.7,3.6,4.5,806,0.0,0.0,1.000,1.4,2.5,552,1.3,2.0,3.3,0.6,0.3,1.3,1.0,2.1
92.,Roberts Blumbergs,SOC,30,25.2,8.6,3.1,6.8,461,1.7,4.2,400,0.7,1.1,656,0.9,3.7,4.6,0.6,0.5,0.2,1.1,1.7
93.,Landry Nnoko,BURS,30,25.6,8.6,3.3,6.0,553,0.0,0.1,0,2.0,2.8,702,2.9,4.1,7.0,0.9,0.6,0.6,1.2,2.3
94.,Artur Konontsuk,BURS,30,23.3,8.4,3.0,6.6,460,1.6,3.6,435,0.8,0.9,885,0.6,2.5,3.1,0.8,0.4,0.2,0.9,1.9
95.,Jeremy Simmons,ENEN,30,24.3,8.4,3.6,5.3,684,0.0,0.0,0,1.2,2.0,574,2.2,2.5,4.7,1.5,0.9,0.2,0.8,2.8
96.,Ismael Kamagate,BES,20,17.6,8.4,3.2,5.3,594,0.0,0.0,0,2.1,2.6,788,2.8,3.1,5.9,0.4,0.6,1.1,0.7,1.9
97.,Melih Mahmutoglu,FEN,26,19.3,8.3,2.8,6.3,448,2.0,4.8,416,0.7,0.8,857,0.2,1.3,1.5,1.0,0.5,0.0,0.6,1.9
98.,Okben Ulubay,TRA,5,20.9,8.2,3.2,6.2,516,1.6,4.0,400,0.2,0.4,500,0.4,1.2,1.6,1.2,0.8,0.4,0.4,1.6
99.,Matt Thomas,BES,12,16.1,8.2,2.8,5.8,493,2.2,4.4,491,0.3,0.3,1.000,0.6,1.9,2.5,0.9,0.4,0.1,0.3,2.3
100.,Samet Geyik,PIN,27,25.7,8.1,3.2,6.5,491,0.5,1.8,271,1.2,1.9,660,2.0,3.4,5.4,1.0,0.9,0.5,1.3,3.4
101.,Kris Bankston,TUR,29,20.4,8.0,3.2,4.6,707,0.0,0.1,0,1.5,2.1,733,2.0,2.6,4.6,1.2,0.6,0.9,0.9,2.3
102.,"Bonzie Colson, Jr.",FEN,11,17.3,7.9,2.6,5.5,483,1.1,2.9,375,1.5,1.9,810,0.6,2.7,3.4,0.5,0.5,0.0,0.6,1.3
103.,Tre'Shawn Thurman,ENEN,27,19.4,7.8,2.5,5.9,428,1.3,3.7,340,1.5,1.9,769,0.7,1.7,2.4,0.9,0.5,0.2,0.7,2.5
104.,Justin Alston,PIN,30,19.4,7.7,3.0,6.3,468,1.0,2.6,380,0.8,1.0,774,1.0,2.5,3.6,1.0,0.5,0.2,1.0,2.3
